insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-06-08T13:17:00Z', 1, 18, 127231353);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-01-30T04:04:24Z', 2, 30, 106360608);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-05-28T14:14:05Z', 2, 49, 212105716);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2019-12-04T08:45:23Z', 2, 4, 404661982);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-01-14T13:39:39Z', 1, 62, 536822681);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-03-21T05:33:11Z', 1, 167, 410887230);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-04-08T08:02:42Z', 2, 111, 861513241);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-04-03T09:17:35Z', 1, 61, 550460711);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-06-13T05:43:55Z', 2, 125, 641056196);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-05-09T02:54:10Z', 2, 39, 380928224);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-04-18T06:30:23Z', 1, 82, 503117264);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-03-10T04:41:32Z', 2, 180, 359139856);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-06-18T13:09:59Z', 3, 98, 674761613);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2019-12-06T10:45:50Z', 2, 64, 599947277);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2019-12-18T11:54:43Z', 3, 190, 545395157);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-02-22T12:31:35Z', 2, 148, 618456032);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-02-22T18:20:06Z', 2, 138, 311866879);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-02-28T01:25:55Z', 3, 6, 283066249);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-05-23T08:00:02Z', 1, 26, 321788368);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-04-18T14:18:49Z', 2, 71, 274717951);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-06-24T21:16:46Z', 3, 27, 607935266);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-03-11T14:46:31Z', 1, 17, 528639863);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2019-12-25T02:19:36Z', 2, 1, 770917756);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-01-08T11:23:56Z', 1, 105, 336962410);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-02-04T03:44:43Z', 2, 58, 743252038);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-05-23T14:44:38Z', 2, 7, 368088650);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-04-29T19:19:44Z', 1, 95, 566241860);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-06-19T02:47:30Z', 3, 73, 594102407);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-06-20T12:38:52Z', 2, 2, 790205827);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2019-12-29T18:55:22Z', 2, 82, 881580628);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-04-03T22:30:04Z', 1, 79, 635016497);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-02-15T02:15:14Z', 1, 86, 824106073);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-03-27T02:09:41Z', 2, 5, 667747769);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2019-12-30T13:52:38Z', 1, 118, 540524432);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-06-20T14:57:58Z', 2, 18, 505065554);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-04-17T17:09:43Z', 2, 36, 651771791);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-01-25T06:07:30Z', 1, 153, 176327296);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-01-24T13:58:34Z', 1, 42, 656252858);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-02-12T12:40:37Z', 2, 5, 159431931);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-06-12T00:42:45Z', 2, 115, 137368572);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-05-02T18:32:59Z', 3, 12, 596245526);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2019-12-18T23:57:48Z', 1, 130, 630340601);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-06-12T19:49:57Z', 1, 174, 391044252);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-04-06T19:03:33Z', 2, 119, 788062708);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2019-12-05T21:16:58Z', 3, 100, 560396990);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-05-14T06:04:37Z', 3, 103, 394351415);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-06-03T21:07:21Z', 2, 194, 684503063);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-04-08T21:57:30Z', 2, 195, 238939531);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-03-24T09:42:34Z', 3, 161, 652745936);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-04-05T18:13:25Z', 1, 195, 671839178);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-03-30T11:36:05Z', 3, 138, 460689214);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-04-05T16:27:10Z', 2, 40, 328013616);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-04-11T13:59:26Z', 2, 119, 964200380);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-04-29T05:35:23Z', 2, 186, 681190970);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-02-20T22:48:57Z', 1, 145, 582412667);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-05-08T12:57:09Z', 2, 148, 129417812);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-05-17T23:09:27Z', 3, 165, 934171170);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-02-01T21:22:41Z', 3, 40, 709936279);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2019-12-10T11:46:07Z', 1, 83, 119678131);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-01-10T17:23:19Z', 1, 155, 270543802);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-06-11T09:44:35Z', 3, 164, 866189137);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-05-07T10:44:41Z', 1, 165, 100198769);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-05-21T09:18:58Z', 2, 63, 293998544);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2019-12-07T08:17:59Z', 3, 9, 204353725);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2019-12-02T08:15:40Z', 2, 135, 710131108);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-01-16T23:03:50Z', 3, 98, 599752448);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-03-28T07:47:13Z', 1, 130, 204552494);
