insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-04-03T07:08:51Z', 1, 138, 628002653);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-02-12T06:21:49Z', 1, 100, 205546339);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2019-12-08T04:15:24Z', 1, 52, 297576386);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-04-05T00:13:56Z', 3, 180, 275115489);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-01-07T03:02:04Z', 1, 80, 858395977);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2020-06-12T22:34:59Z', 2, 134, 565072886);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-06-07T02:44:34Z', 3, 57, 301167234);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-01-23T09:28:23Z', 3, 56, 676125416);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'false', '2019-12-20T12:31:31Z', 3, 188, 328986311);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-05-09T16:35:47Z', 1, 127, 677489219);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('false', 'false', '2020-05-18T04:53:44Z', 2, 145, 896387632);
insert into Paciente (internado, uci, fechaIngreso, idEstadoPaciente, idCentroHospitalario, cedula) values ('true', 'true', '2020-06-15T10:52:43Z', 2, 86, 547148618);
