insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (121467052, 'Rudyard', 'Pourvoieur', 'Speedin', 'China', '1936-05-04T17:54:16Z', 17);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (292010854, 'Myrna', 'Bareford', 'Gwalter', 'China', '2007-11-23T15:38:29Z', 15);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (117094134, 'Andras', 'McDermot', 'Devorill', 'China', '2004-11-10T00:31:14Z', 22);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (269549957, 'Ofilia', 'Blondelle', 'Rickaby', 'Russia', '2015-10-16T19:18:57Z', 53);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (287637936, 'Viviana', 'Dundredge', 'Jzak', 'Vietnam', '1981-10-16T00:39:32Z', 11);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (234765382, 'Sheppard', 'Winspear', 'Trobridge', 'United Kingdom', '1972-10-16T22:45:23Z', 50);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (273525337, 'Grete', 'Tippler', 'Innman', 'Estonia', '1970-07-06T21:14:09Z', 1);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (105565532, 'Vincenty', 'Belison', 'Abbis', 'Brazil', '1982-03-05T19:41:59Z', 32);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (139753800, 'Bat', 'Honeyghan', 'Lozano', 'Ecuador', '2018-11-01T15:03:34Z', 50);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (226615853, 'Vanna', 'Sandham', 'Woolmore', 'Brazil', '1975-06-22T06:50:21Z', 25);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (162612235, 'Bernita', 'Petrolli', 'Barhams', 'China', '1931-07-25T10:25:30Z', 4);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (217273710, 'Dane', 'Pietasch', 'Brugger', 'China', '2010-11-28T12:29:13Z', 37);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (126436277, 'Kariotta', 'Dreossi', 'Osgerby', 'Honduras', '1956-11-10T07:04:06Z', 47);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (212503254, 'Dell', 'Broad', 'Pankettman', 'Russia', '2001-02-23T07:52:39Z', 49);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (212702023, 'Carlo', 'Killigrew', 'Creasey', 'France', '2013-01-12T19:52:34Z', 4);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (291414547, 'Teressa', 'Peckett', 'Buckhurst', 'China', '1941-10-22T13:39:46Z', 46);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (214292175, 'Verena', 'Cuerda', 'Pyrah', 'Brazil', '1962-08-07T09:03:26Z', 45);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (297377617, 'Vanna', 'Chipps', 'Solloway', 'Nepal', '1988-03-09T00:04:14Z', 49);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (226218315, 'Pietro', 'Zolini', 'Talby', 'Czech Republic', '1968-02-09T15:16:48Z', 47);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (145120563, 'Mercedes', 'Pawden', 'Roaf', 'Netherlands', '1949-06-06T08:12:48Z', 20);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (275910565, 'Adelaida', 'Dessant', 'Thorneley', 'Philippines', '1977-07-31T10:27:31Z', 15);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (168376536, 'Winny', 'Jakubowsky', 'Fort', 'Mongolia', '1968-06-09T15:24:57Z', 19);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (114510137, 'Sigfried', 'Sibbit', 'Cansfield', 'Sweden', '1938-01-26T01:39:27Z', 44);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (257822586, 'Falito', 'Ehrat', 'Maggiori', 'Brazil', '1976-08-05T20:47:20Z', 54);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (132001809, 'Kaitlyn', 'Sweetnam', 'Sawle', 'Malaysia', '2002-04-14T19:24:51Z', 54);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (112522447, 'Gweneth', 'Dobney', 'Fessier', 'Philippines', '1994-03-28T04:35:33Z', 3);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (140350107, 'Brandi', 'Chester', 'Redshaw', 'Peru', '1976-07-26T17:07:37Z', 33);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (226814622, 'Abbie', 'Tincknell', 'Romand', 'Sweden', '1946-10-13T23:14:29Z', 39);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (166786384, 'Towny', 'Moberley', 'Wison', 'United States', '1959-09-13T07:01:59Z', 3);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (220652783, 'Ketty', 'Talman', 'Body', 'Sweden', '2011-06-05T00:53:53Z', 38);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (238740762, 'Hillyer', 'MacKenny', 'Jeacock', 'Philippines', '1948-12-29T15:27:22Z', 48);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (195210351, 'Christophorus', 'Tearny', 'Grimes', 'Finland', '1930-08-16T20:12:26Z', 36);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (235162920, 'Chrissy', 'MacKibbon', 'Dellit', 'Slovenia', '2002-08-15T21:10:43Z', 53);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (108348298, 'Candide', 'Fortune', 'Canape', 'Germany', '2010-07-08T07:05:34Z', 20);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (233572768, 'Hansiain', 'Gue', 'Laing', 'Slovenia', '2010-05-21T20:07:40Z', 2);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (297576386, 'Marybeth', 'Kieff', 'Burstow', 'Sweden', '1945-12-26T22:15:24Z', 51);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (139157493, 'Enriqueta', 'Oliphand', 'Staines', 'Indonesia', '1980-07-17T07:33:02Z', 48);
