insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (179706369, 'Lovell', 'Mecco', 'Pavinese', 'Czech Republic', '1948-11-27T05:59:23Z', 45);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (254841051, 'Arley', 'Ivory', 'McBrady', 'South Korea', '1979-09-17T17:50:31Z', 19);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (181097752, 'Aline', 'Tabour', 'Castanos', 'China', '1992-09-16T01:38:07Z', 23);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (294992389, 'Sapphire', 'Copo', 'Dakers', 'Guinea-Bissau', '1967-03-12T16:12:58Z', 10);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (171954378, 'Matthiew', 'Domini', 'Beadles', 'United States', '1979-05-01T23:30:22Z', 24);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (277699486, 'Sandra', 'Bisgrove', 'Markl', 'Indonesia', '1992-04-12T18:51:09Z', 33);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (191234971, 'Hunt', 'Bailey', 'Costelloe', 'Russia', '1945-04-12T13:04:00Z', 6);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (114907675, 'Ophelia', 'Borham', 'Lardeur', 'Cameroon', '1992-06-06T01:24:29Z', 1);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (205546339, 'Allyn', 'Baylie', 'Balsdone', 'Philippines', '1992-07-26T15:20:30Z', 28);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (274519182, 'Hervey', 'Jumont', 'Kop', 'Indonesia', '1990-02-18T13:05:53Z', 6);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (282072404, 'Inesita', 'Petrussi', 'Trowill', 'Ukraine', '1955-04-12T05:57:07Z', 21);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (122858435, 'Xenos', 'Jocelyn', 'Belding', 'China', '1994-09-06T03:24:34Z', 36);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (269351188, 'Cecelia', 'Houlaghan', 'Nolot', 'Libya', '1931-09-24T12:19:34Z', 32);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (172351916, 'Baron', 'Gorch', 'Picker', 'Venezuela', '1932-04-09T06:32:11Z', 15);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (121665821, 'Corney', 'Hounsom', 'Littlepage', 'Colombia', '1978-06-08T12:02:51Z', 50);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (225423239, 'Niki', 'De Robertis', 'Rollinson', 'Russia', '1955-10-20T00:36:40Z', 55);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (207534029, 'Corabelle', 'Wike', 'Cescon', 'Yemen', '1948-08-01T09:57:39Z', 46);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (147307022, 'Allan', 'Turvie', 'Bolletti', 'Indonesia', '1955-04-20T17:38:27Z', 51);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (199583269, 'Haily', 'Luca', 'Oehm', 'Brazil', '1941-01-30T01:28:50Z', 1);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (114311368, 'Patrizio', 'Faulconer', 'Dominighi', 'Peru', '1940-08-30T07:12:50Z', 28);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (169171612, 'Olga', 'Langley', 'Ahlin', 'Indonesia', '1934-10-21T19:05:00Z', 41);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (248281674, 'Kellen', 'Lafaye', 'Persent', 'Philippines', '1963-07-04T08:49:22Z', 47);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (186464515, 'Elisa', 'Stirrip', 'Kyteley', 'Mexico', '1950-09-02T16:06:32Z', 10);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (244306294, 'Job', 'Ellit', 'Heys', 'China', '2001-11-10T05:03:04Z', 8);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (141145183, 'Merridie', 'Artz', 'Joule', 'Cuba', '2016-05-23T23:22:40Z', 1);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (156649165, 'Jacquelyn', 'Shakspeare', 'Beecraft', 'Indonesia', '1983-04-20T05:24:54Z', 28);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (263984425, 'Natty', 'Knill', 'Abilowitz', 'Indonesia', '1953-02-04T12:50:13Z', 9);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (206142646, 'Verene', 'Piddlesden', 'Gibbonson', 'Indonesia', '1966-09-08T18:14:47Z', 12);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (105963070, 'Maurice', 'Mecozzi', 'Gilks', 'Greece', '2002-06-04T04:52:48Z', 33);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (139555031, 'Floyd', 'Baunton', 'Mcettrick', 'Ireland', '1976-03-22T11:53:21Z', 29);
