insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (418668790, 'Catherine', 'Oggers', 'Lafflin', 'Indonesia', '2006-01-10T22:49:34Z', 64);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (384429926, 'Luis', 'Borles', 'Drayton', 'China', '1949-06-28T16:53:20Z', 66);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (467692618, 'Leoine', 'Sergeant', 'Seathwright', 'Indonesia', '1953-12-27T19:18:30Z', 77);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (313228652, 'Karie', 'Loades', 'Yesson', 'Indonesia', '1985-08-09T07:20:09Z', 92);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (412638081, 'Noak', 'Pauletto', 'Gozard', 'Mongolia', '2017-04-07T10:01:25Z', 71);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (307587021, 'Elsy', 'Insull', 'Proppers', 'France', '1961-11-16T17:12:46Z', 77);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (413805315, 'Shandy', 'Morad', 'Perfili', 'Indonesia', '1997-09-11T06:48:24Z', 87);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (349412906, 'Morie', 'Farman', 'Alcido', 'Benin', '1970-08-31T06:36:42Z', 58);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (306614326, 'Ilysa', 'Pedri', 'Wiggett', 'China', '1974-04-27T15:14:46Z', 79);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (439289924, 'Nissie', 'Metzke', 'Millimoe', 'Russia', '1950-05-21T03:01:04Z', 88);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (422559570, 'Evelina', 'McCrae', 'Inchboard', 'Malta', '1999-05-07T06:45:00Z', 61);
