insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (363419714, 'Ivette', 'McGlew', 'Thomann', 'United Kingdom', '1960-09-14T05:53:31Z', 93);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (342798580, 'Winfield', 'Rooksby', 'Wolfendale', 'Albania', '1992-02-28T00:22:49Z', 92);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (420225102, 'Ki', 'Antao', 'Iacomo', 'Thailand', '1932-06-29T22:37:07Z', 80);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (383262692, 'Cassi', 'Erickssen', 'Posselt', 'Nicaragua', '1948-03-30T10:44:36Z', 75);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (344354892, 'Zitella', 'Anderbrugge', 'Titcom', 'Czech Republic', '1954-10-31T04:03:01Z', 85);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (400382124, 'Tadeas', 'Sebire', 'Adkin', 'Sweden', '1950-08-18T15:09:13Z', 60);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (441429853, 'Wilbert', 'Blundin', 'Iacavone', 'Oman', '1993-06-14T12:38:25Z', 61);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (354081842, 'Smitty', 'Rylett', 'Goodall', 'Russia', '2013-01-05T14:26:37Z', 65);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (331904396, 'Udell', 'Bagley', 'Zielinski', 'Poland', '1990-03-22T07:53:19Z', 90);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (470610703, 'Bridie', 'Feavers', 'Nursey', 'Portugal', '1954-01-06T11:55:15Z', 82);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (406412833, 'Irita', 'Bolger', 'Pride', 'Mauritius', '1950-12-05T12:03:06Z', 93);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (486562901, 'Bernie', 'Duncanson', 'Dossett', 'Thailand', '1978-10-30T01:40:47Z', 67);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (380928224, 'Enrica', 'Fanthom', 'Benne', 'Russia', '1961-07-19T20:39:47Z', 83);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (404272904, 'Amandi', 'Stut', 'Futty', 'China', '2001-04-07T23:50:25Z', 59);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (448238718, 'Claudia', 'Stanway', 'Kovacs', 'China', '1950-11-25T13:18:46Z', 56);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (371784891, 'Charla', 'Housbie', 'Roomes', 'France', '1947-05-06T08:33:46Z', 80);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (460883753, 'Esma', 'Robison', 'Taylo', 'Armenia', '2000-06-24T22:54:43Z', 63);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (318481205, 'Leta', 'Geck', 'Hardacre', 'Portugal', '1939-09-29T03:56:19Z', 89);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (435788222, 'Ronni', 'Putterill', 'Kinnear', 'Palestinian Territory', '1972-12-30T00:48:23Z', 62);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (350969218, 'Cody', 'Fforde', 'Verissimo', 'Indonesia', '1978-05-17T13:16:03Z', 68);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (303112624, 'Calv', 'Rodda', 'Emerine', 'China', '1944-04-16T02:07:54Z', 73);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (380733685, 'Engracia', 'Tadman', 'Lammers', 'China', '1980-02-21T21:08:39Z', 93);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (315174042, 'Cicely', 'Jakubovicz', 'Cuell', 'Madagascar', '1975-11-08T13:33:31Z', 84);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (466525384, 'Ardenia', 'Plaister', 'Crockley', 'China', '1973-08-27T04:41:21Z', 87);
