insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (600531764, 'Che', 'Dowber', 'Reiner', 'Russia', '1940-07-14T23:47:33Z', 151);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (553967633, 'Chic', 'Weatherhill', 'Sappy', 'Ukraine', '1972-12-01T06:19:23Z', 151);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (597609329, 'Faina', 'De Meyer', 'McGeoch', 'China', '1972-08-29T05:32:13Z', 118);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (572671217, 'Jaclyn', 'Hachette', 'Dainter', 'Argentina', '1998-11-21T07:36:56Z', 124);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (686646182, 'Corrina', 'Gutcher', 'Winterbotham', 'Peru', '1937-06-10T20:02:32Z', 125);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (529614008, 'Kellie', 'Wedmore.', 'Deschlein', 'Uganda', '1976-07-09T14:33:35Z', 103);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (594102407, 'Greggory', 'Danton', 'Leaver', 'Czech Republic', '2001-06-25T21:33:59Z', 145);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (537796826, 'Gradey', 'Magarrell', 'Cockshut', 'France', '1933-03-27T03:30:22Z', 130);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (541693406, 'Skippy', 'Acreman', 'Slinger', 'Indonesia', '2003-11-17T02:16:32Z', 138);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (620209493, 'Giusto', 'Tenbrug', 'McAirt', 'Thailand', '1937-11-29T15:22:24Z', 124);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (581633351, 'Kerianne', 'Rogerson', 'World', 'Philippines', '1946-02-02T05:12:10Z', 147);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (628587140, 'Porty', 'Reddie', 'Migheli', 'Nigeria', '1934-05-19T17:52:04Z', 118);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (685477208, 'Manfred', 'Sissot', 'Adamek', 'Chile', '1978-06-07T10:36:11Z', 119);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (673008152, 'Rebeca', 'Petrik', 'McCraw', 'China', '1970-02-09T06:27:46Z', 140);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (660344267, 'Jackelyn', 'Skalls', 'Okill', 'Indonesia', '2012-01-12T15:44:34Z', 96);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (662682215, 'Wiatt', 'Moran', 'Fritschmann', 'Brazil', '1966-06-26T14:35:26Z', 131);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (606571463, 'Ed', 'Byrch', 'Langcaster', 'France', '1935-01-04T06:27:01Z', 153);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (568190150, 'Margie', 'Jakubowsky', 'Hobbert', 'Indonesia', '1939-09-02T03:39:37Z', 146);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (661123583, 'Anatol', 'Zimmermanns', 'Sherwin', 'Tunisia', '1935-04-22T13:41:28Z', 109);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (661902899, 'Joletta', 'Trickey', 'Silvester', 'Indonesia', '1937-04-07T21:59:18Z', 148);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (613974965, 'Patrizio', 'Keysall', 'Traves', 'Dominican Republic', '1955-04-02T04:18:24Z', 131);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (671839178, 'Adriano', 'Gegay', 'Higbin', 'Germany', '1991-01-08T16:36:42Z', 132);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (525912257, 'Casie', 'Chessel', 'Peperell', 'Bahamas', '1996-01-05T00:21:41Z', 105);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (561176306, 'Sibylla', 'Ferriman', 'Cleall', 'Czech Republic', '1963-12-03T19:10:15Z', 155);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (628392311, 'Evie', 'Baltrushaitis', 'Swyne', 'Russia', '1957-11-18T07:51:08Z', 154);
