insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (582023009, 'Faulkner', 'Baelde', 'Killoran', 'Canada', '1998-08-19T17:06:23Z', 151);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (670475375, 'Kipper', 'McCoid', 'Davisson', 'Swaziland', '1938-01-07T07:39:52Z', 102);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (509741450, 'Arley', 'Moxted', 'Sharman', 'Brazil', '1971-08-17T11:29:48Z', 107);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (631119917, 'Lorette', 'Heams', 'Glavin', 'Mongolia', '1968-06-18T09:20:36Z', 147);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (505650041, 'Serena', 'Pengilly', 'Thorley', 'Brazil', '1996-06-24T21:36:59Z', 149);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (650018330, 'Blaine', 'Pooke', 'Glentz', 'China', '1972-08-09T13:22:01Z', 145);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (679632338, 'Gerik', 'Thynne', 'Hulance', 'Brazil', '1956-03-18T21:57:12Z', 119);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (620599151, 'Thebault', 'Hamnet', 'Aingel', 'France', '1980-05-29T12:20:54Z', 120);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (658201148, 'Lonnie', 'Benn', 'Acton', 'Russia', '1945-12-08T09:26:50Z', 130);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (521236361, 'Dionis', 'Sudddard', 'Larchier', 'Indonesia', '2016-04-28T15:28:06Z', 138);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (668721914, 'Lurleen', 'Stickins', 'Puncher', 'Latvia', '2014-10-03T10:34:35Z', 135);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (520262216, 'Martie', 'Gravenor', 'Brimm', 'United States', '1947-02-12T09:41:58Z', 139);
